District	Product	Profit
Лосиноостровский	Ремонт компьютеров	3.7526
Левобережный	Ремонт компьютеров	4.3574
Хорошево-Мневники	Ремонт компьютеров	4.3257
Бутырский	Ремонт компьютеров	4.2998
Якиманка	Ремонт компьютеров	1.4909999999999999
Текстильщики	Ремонт компьютеров	5.0713
Савелки	Ремонт компьютеров	3.0113999999999996
Московский	Ремонт компьютеров	3.8106999999999998
Хорошево-Мневники	Ремонт компьютеров	4.4207
Академический	Ремонт компьютеров	2.3506
Щербинка	Ремонт компьютеров	2.7222
Внуково	Ремонт компьютеров	2.7357
Якиманка	Ремонт компьютеров	2.318
Гольяново	Ремонт компьютеров	3.6121
Орехово-Борисово Южное	Ремонт компьютеров	3.9633000000000003
Старое Крюково	Ремонт компьютеров	3.2277
Сосенское	Ремонт компьютеров	0.9487
Щукино	Ремонт компьютеров	4.3708
Южнопортовый	Ремонт компьютеров	2.3436
Марушкинское	Ремонт компьютеров	3.3778
Алексеевский	Ремонт компьютеров	2.4010000000000002
Троицк	Ремонт компьютеров	4.9185
Рязановское	Ремонт компьютеров	2.484
Хамовники	Ремонт компьютеров	2.8239
Отрадное	Ремонт компьютеров	4.7211
Чертаново Центральное	Ремонт компьютеров	2.7346000000000004
Бутырский	Ремонт компьютеров	2.8078000000000003
Внуково	Ремонт компьютеров	1.1926999999999999
Новофедоровское	Ремонт компьютеров	2.1315
Черемушки	Ремонт компьютеров	3.2136
Покровское-Стрешнево	Ремонт компьютеров	3.3624
Замоскворечье	Ремонт компьютеров	3.207
Черемушки	Ремонт компьютеров	3.8975999999999997
Ростокино	Ремонт компьютеров	2.2313
Печатники	Ремонт компьютеров	2.1299
Перово	Ремонт компьютеров	5.7212
Аэропорт	Ремонт компьютеров	1.9394
Матушкино	Ремонт компьютеров	3.0394
Ломоносовский	Ремонт компьютеров	3.1045
Тимирязевский	Ремонт компьютеров	3.1294000000000004
Троицк	Ремонт компьютеров	4.5045
Замоскворечье	Ремонт компьютеров	1.341
Коньково	Ремонт компьютеров	4.5344
Восточное Дегунино	Ремонт компьютеров	2.3566000000000003
Отрадное	Ремонт компьютеров	3.9931
Донской	Ремонт компьютеров	1.883
Чертаново Северное	Ремонт компьютеров	3.1524
Братеево	Ремонт компьютеров	4.1324000000000005
Щукино	Ремонт компьютеров	3.3148
Измайлово	Ремонт компьютеров	2.5576
Алтуфьевский	Ремонт компьютеров	2.9501999999999997
Рязанский	Ремонт компьютеров	4.1401
Нагатино-Садовники	Ремонт компьютеров	2.5576
Восточное Дегунино	Ремонт компьютеров	2.3106
Выхино-Жулебино	Ремонт компьютеров	4.2318999999999996
Печатники	Ремонт компьютеров	3.2359
Силино	Ремонт компьютеров	2.2671
Силино	Ремонт компьютеров	2.6091
Сосенское	Ремонт компьютеров	1.8807
Восточный	Ремонт компьютеров	1.6174
Котловка	Ремонт компьютеров	3.4806999999999997
Лефортово	Ремонт компьютеров	3.4053
Бибирево	Ремонт компьютеров	4.2328
Михайлово-Ярцевское	Ремонт компьютеров	0.9208
Очаково-Матвеевское	Ремонт компьютеров	4.6629000000000005
Замоскворечье	Ремонт компьютеров	2.556
Таганский	Ремонт компьютеров	5.0491
Можайский	Ремонт компьютеров	4.9403
Новогиреево	Ремонт компьютеров	3.1826
Рязанский	Ремонт компьютеров	3.3541
Южнопортовый	Ремонт компьютеров	3.2615999999999996
Киевский	Ремонт компьютеров	1.6783
Капотня	Ремонт компьютеров	1.8829
Останкинский	Ремонт компьютеров	2.3327999999999998
Измайлово	Ремонт компьютеров	2.2826
Ярославский	Ремонт компьютеров	4.602
Братеево	Ремонт компьютеров	2.9574
Кокошкино	Ремонт компьютеров	1.8013
Нагатинский Затон	Ремонт компьютеров	2.4305
Новогиреево	Ремонт компьютеров	4.2536000000000005
Пресненский	Ремонт компьютеров	4.5654
Северный	Ремонт компьютеров	3.3598
Ховрино	Ремонт компьютеров	2.5835
Хорошево-Мневники	Ремонт компьютеров	4.2047
Печатники	Ремонт компьютеров	4.0249
Обручевский	Ремонт компьютеров	3.3974
Зябликово	Ремонт компьютеров	1.9386
Люблино	Ремонт компьютеров	5.105700000000001
Матушкино	Ремонт компьютеров	2.2694
Десеновское	Ремонт компьютеров	1.8537
Бескудниковский	Ремонт компьютеров	3.559
Некрасовка	Ремонт компьютеров	3.1871
Внуковское	Ремонт компьютеров	3.0698
Нагорный	Ремонт компьютеров	3.9568
Алтуфьевский	Ремонт компьютеров	2.4182
Щербинка	Ремонт компьютеров	0.8882
Новокосино	Ремонт компьютеров	3.5049
Гольяново	Ремонт компьютеров	3.5371
Басманный	Ремонт компьютеров	2.8463000000000003
Дорогомилово	Ремонт компьютеров	1.9174
Кленовское	Ремонт компьютеров	0.8484
Бибирево	Ремонт компьютеров	1.9528000000000003
Котловка	Ремонт компьютеров	4.1457
Восточный	Ремонт компьютеров	3.4063999999999997
Лефортово	Ремонт компьютеров	2.9083
Троицк	Ремонт компьютеров	2.3435
Гагаринский	Ремонт компьютеров	4.3223
Царицыно	Ремонт компьютеров	4.0859000000000005
Южное Тушино	Ремонт компьютеров	2.0946000000000002
Зюзино	Ремонт компьютеров	4.6876
Сокольники	Ремонт компьютеров	1.5067
Коньково	Ремонт компьютеров	4.385400000000001
Новокосино	Ремонт компьютеров	2.1429
Алтуфьевский	Ремонт компьютеров	2.9332
Щаповское	Ремонт компьютеров	2.514
Измайлово	Ремонт компьютеров	1.3596
Некрасовка	Ремонт компьютеров	3.6250999999999998
Марьина Роща	Ремонт компьютеров	3.9518999999999997
Северное Бутово	Ремонт компьютеров	3.6772
Бабушкинский	Ремонт компьютеров	2.7024
Царицыно	Ремонт компьютеров	5.6589
Мещанский	Ремонт компьютеров	1.3558
Беговой	Ремонт компьютеров	2.9688
Ховрино	Ремонт компьютеров	2.4895
Чертаново Центральное	Ремонт компьютеров	2.4246
Тропарево-Никулино	Ремонт компьютеров	6.0116
Даниловский	Ремонт компьютеров	3.1761
Выхино-Жулебино	Ремонт компьютеров	3.7569
Текстильщики	Ремонт компьютеров	3.2193
Хорошево-Мневники	Ремонт компьютеров	4.9747
Бескудниковский	Ремонт компьютеров	3.425
Западное Дегунино	Ремонт компьютеров	4.6480999999999995
Марфино	Ремонт компьютеров	3.1136
Очаково-Матвеевское	Ремонт компьютеров	2.8649000000000004
Выхино-Жулебино	Ремонт компьютеров	5.4039
Дмитровский	Ремонт компьютеров	2.2673
Замоскворечье	Ремонт компьютеров	1.095
Ховрино	Ремонт компьютеров	3.2935
Крюково	Ремонт компьютеров	3.8649000000000004
Тропарево-Никулино	Ремонт компьютеров	1.8356000000000001
Текстильщики	Ремонт компьютеров	3.1313000000000004
Новофедоровское	Ремонт компьютеров	0.3525
Проспект Вернадского	Ремонт компьютеров	3.3087999999999997
Богородское	Ремонт компьютеров	3.1635999999999997
Фили-Давыдково	Ремонт компьютеров	2.8037
Царицыно	Ремонт компьютеров	3.7839
Западное Дегунино	Ремонт компьютеров	0.8531000000000001
Савелки	Ремонт компьютеров	2.6054
Бабушкинский	Ремонт компьютеров	3.5494000000000003
Северное Бутово	Ремонт компьютеров	5.9282
Матушкино	Ремонт компьютеров	0.7794
Беговой	Ремонт компьютеров	4.1798
Гольяново	Ремонт компьютеров	2.9621000000000004
Строгино	Ремонт компьютеров	4.161
Нагатинский Затон	Ремонт компьютеров	4.4105
Бутырский	Ремонт компьютеров	2.5098000000000003
Западное Дегунино	Ремонт компьютеров	1.0911
Фили-Давыдково	Ремонт компьютеров	3.4276999999999997
Рязановское	Ремонт компьютеров	1.306
Лианозово	Ремонт компьютеров	2.9819
Савелки	Ремонт компьютеров	1.5164
Северное Бутово	Ремонт компьютеров	4.2682
Силино	Ремонт компьютеров	1.1341
Отрадное	Ремонт компьютеров	3.8431
Сосенское	Ремонт компьютеров	1.3767
Царицыно	Ремонт компьютеров	3.7549
Красносельский	Ремонт компьютеров	2.2804
Таганский	Ремонт компьютеров	2.9481
Молжаниновский	Ремонт компьютеров	3.449
Останкинский	Ремонт компьютеров	1.8138
Замоскворечье	Ремонт компьютеров	1.326
Алексеевский	Ремонт компьютеров	3.209
Бибирево	Ремонт компьютеров	4.1248000000000005
Ростокино	Ремонт компьютеров	3.7423
Лосиноостровский	Ремонт компьютеров	1.4376
Ростокино	Ремонт компьютеров	2.3263
Марьина Роща	Ремонт компьютеров	3.4579
Бабушкинский	Ремонт компьютеров	2.1593999999999998
Можайский	Ремонт компьютеров	2.9183000000000003
Сокол	Ремонт компьютеров	1.9453
Хорошевский	Ремонт компьютеров	1.2966000000000002
Метрогородок	Ремонт компьютеров	1.4782000000000002
Восточное Дегунино	Ремонт компьютеров	2.9736000000000002
Капотня	Ремонт компьютеров	0.7519
Богородское	Ремонт компьютеров	3.2756
Орехово-Борисово Северное	Ремонт компьютеров	3.2703
Михайлово-Ярцевское	Ремонт компьютеров	2.9948
Арбат	Ремонт компьютеров	3.184
Алексеевский	Ремонт компьютеров	2.9650000000000003
Строгино	Ремонт компьютеров	3.342
Щукино	Ремонт компьютеров	4.4198
Чертаново Северное	Ремонт компьютеров	3.3834
Тверской	Ремонт компьютеров	3.3364000000000003
Зюзино	Ремонт компьютеров	4.7166
Братеево	Ремонт компьютеров	2.9204
Метрогородок	Ремонт компьютеров	1.6061999999999999
Киевский	Ремонт компьютеров	1.3083
Гагаринский	Ремонт компьютеров	3.5903
Вороновское	Ремонт компьютеров	2.14
Северный	Ремонт компьютеров	3.8158
Красносельский	Ремонт компьютеров	2.5514
Тимирязевский	Ремонт компьютеров	2.6244
Южное Бутово	Ремонт компьютеров	6.440300000000001
Теплый Стан	Ремонт компьютеров	3.5914
Хорошево-Мневники	Ремонт компьютеров	3.5157000000000003
Восточное Дегунино	Ремонт компьютеров	3.6366
Воскресенское	Ремонт компьютеров	3.0681000000000003
Ховрино	Ремонт компьютеров	4.1015
Некрасовка	Ремонт компьютеров	4.2411
Бирюлево Западное	Ремонт компьютеров	4.0705
Марьино	Ремонт компьютеров	7.2672
Троицк	Ремонт компьютеров	4.2325
Южнопортовый	Ремонт компьютеров	2.4076
Десеновское	Ремонт компьютеров	2.2237
Косино-Ухтомский	Ремонт компьютеров	4.4938
Вороновское	Ремонт компьютеров	2.838
Братеево	Ремонт компьютеров	2.5314
Москворечье-Сабурово	Ремонт компьютеров	2.9283
Ново-Переделкино	Ремонт компьютеров	4.5282
Марфино	Ремонт компьютеров	2.6806
Некрасовка	Ремонт компьютеров	2.3921
Косино-Ухтомский	Ремонт компьютеров	4.2248
Котловка	Ремонт компьютеров	2.5177
Можайский	Ремонт компьютеров	2.9803
Донской	Ремонт компьютеров	2.4450000000000003
Орехово-Борисово Северное	Ремонт компьютеров	4.4273
Люблино	Ремонт компьютеров	5.8407
Южное Тушино	Ремонт компьютеров	2.8536
Хамовники	Ремонт компьютеров	3.6149
Арбат	Ремонт компьютеров	3.767
Силино	Ремонт компьютеров	1.4551
Якиманка	Ремонт компьютеров	1.823
Рязанский	Ремонт компьютеров	2.5501
Кунцево	Ремонт компьютеров	4.7168
Косино-Ухтомский	Ремонт компьютеров	5.2578
Рязановское	Ремонт компьютеров	1.006
Алексеевский	Ремонт компьютеров	3.236
Михайлово-Ярцевское	Ремонт компьютеров	2.7398000000000002
Кузьминки	Ремонт компьютеров	2.6681
Соколиная Гора	Ремонт компьютеров	5.7401
Тропарево-Никулино	Ремонт компьютеров	4.5526
Гагаринский	Ремонт компьютеров	1.0273
Южнопортовый	Ремонт компьютеров	3.1235999999999997
Дмитровский	Ремонт компьютеров	2.8883
Чертаново Северное	Ремонт компьютеров	3.7554
Троицк	Ремонт компьютеров	5.1145
Орехово-Борисово Южное	Ремонт компьютеров	4.4853000000000005
Таганский	Ремонт компьютеров	4.0761
Бирюлево Западное	Ремонт компьютеров	1.9915
Пресненский	Ремонт компьютеров	3.4354
Сокольники	Ремонт компьютеров	2.8987
Хорошево-Мневники	Ремонт компьютеров	4.7137
Беговой	Ремонт компьютеров	2.6808
Левобережный	Ремонт компьютеров	3.1494
Головинский	Ремонт компьютеров	2.8042
Северный	Ремонт компьютеров	1.3818000000000001
Якиманка	Ремонт компьютеров	2.072
Кунцево	Ремонт компьютеров	5.7728
Ивановское	Ремонт компьютеров	4.4723
Новокосино	Ремонт компьютеров	2.7549
Южное Медведково	Ремонт компьютеров	1.6781000000000001
Троицк	Ремонт компьютеров	4.067500000000001
Аэропорт	Ремонт компьютеров	5.0124
Черемушки	Ремонт компьютеров	3.4606000000000003
Сосенское	Ремонт компьютеров	3.4116999999999997
Строгино	Ремонт компьютеров	4.248
Отрадное	Ремонт компьютеров	4.6211
Головинский	Ремонт компьютеров	4.3132
Северное Бутово	Ремонт компьютеров	3.0622
Марьино	Ремонт компьютеров	3.9541999999999997
Можайский	Ремонт компьютеров	2.9243
Зюзино	Ремонт компьютеров	2.3106
Савелки	Ремонт компьютеров	1.2614
Гагаринский	Ремонт компьютеров	1.8673
Ховрино	Ремонт компьютеров	4.6365
Филевский Парк	Ремонт компьютеров	3.9616
Чертаново Северное	Ремонт компьютеров	1.9884000000000002
Северное Измайлово	Ремонт компьютеров	2.64
Арбат	Ремонт компьютеров	2.335
Преображенское	Ремонт компьютеров	3.5330000000000004
Внуково	Ремонт компьютеров	4.4487
Южное Медведково	Ремонт компьютеров	3.3381
Восточный	Ремонт компьютеров	3.5674
Внуково	Ремонт компьютеров	3.3507
Марьино	Ремонт компьютеров	5.5272
Зябликово	Ремонт компьютеров	4.2726
Фили-Давыдково	Ремонт компьютеров	1.9877000000000002
Ново-Переделкино	Ремонт компьютеров	2.9552
Ново-Переделкино	Ремонт компьютеров	3.5382
Щукино	Ремонт компьютеров	3.1568
Филимонковское	Ремонт компьютеров	3.1076
Кузьминки	Ремонт компьютеров	3.0691
Кунцево	Ремонт компьютеров	4.7328
Бабушкинский	Ремонт компьютеров	0.21740000000000004
Теплый Стан	Ремонт компьютеров	3.7104
Якиманка	Ремонт компьютеров	3.1740000000000004
Хорошевский	Ремонт компьютеров	1.8186
Академический	Ремонт компьютеров	3.2456
Южнопортовый	Ремонт компьютеров	4.3536
Филевский Парк	Ремонт компьютеров	3.0836
Хамовники	Ремонт компьютеров	3.0839
Кунцево	Ремонт компьютеров	4.1658
Гагаринский	Ремонт компьютеров	2.7713
Рязановское	Ремонт компьютеров	2.255
Останкинский	Ремонт компьютеров	1.8048
Черемушки	Ремонт компьютеров	2.8506
Якиманка	Ремонт компьютеров	1.79
Косино-Ухтомский	Ремонт компьютеров	3.7088
Старое Крюково	Ремонт компьютеров	2.0417
Коньково	Ремонт компьютеров	4.9074
Восточный	Ремонт компьютеров	1.9384
Ново-Переделкино	Ремонт компьютеров	2.5162
Чертаново Южное	Ремонт компьютеров	3.5797999999999996
Отрадное	Ремонт компьютеров	3.2841
Черемушки	Ремонт компьютеров	1.7716
Лефортово	Ремонт компьютеров	4.6423000000000005
Строгино	Ремонт компьютеров	2.685
Кокошкино	Ремонт компьютеров	1.3623
Покровское-Стрешнево	Ремонт компьютеров	3.2184
Богородское	Ремонт компьютеров	6.6096
Южное Тушино	Ремонт компьютеров	4.5766
Внуково	Ремонт компьютеров	1.6697000000000002
Внуковское	Ремонт компьютеров	3.2188
Щукино	Ремонт компьютеров	4.6248000000000005
Куркино	Ремонт компьютеров	2.1057
Восточное Измайлово	Ремонт компьютеров	1.8629000000000002
Пресненский	Ремонт компьютеров	3.2544000000000004
Кленовское	Ремонт компьютеров	3.1014000000000004
Первомайское	Ремонт компьютеров	3.6602
Воскресенское	Ремонт компьютеров	2.7581
Западное Дегунино	Ремонт компьютеров	2.9451
Северное Медведково	Ремонт компьютеров	3.8696
Царицыно	Ремонт компьютеров	4.3479
Киевский	Ремонт компьютеров	2.7053000000000003
Басманный	Ремонт компьютеров	4.4613
Митино	Ремонт компьютеров	4.956300000000001
Чертаново Южное	Ремонт компьютеров	4.4358
Кунцево	Ремонт компьютеров	5.4948
Преображенское	Ремонт компьютеров	2.739
Восточный	Ремонт компьютеров	1.1594
Щаповское	Ремонт компьютеров	1.0350000000000001
Хорошево-Мневники	Ремонт компьютеров	4.7437000000000005
Кленовское	Ремонт компьютеров	3.5504000000000002
Лосиноостровский	Ремонт компьютеров	2.1916
Богородское	Ремонт компьютеров	4.178599999999999
Михайлово-Ярцевское	Ремонт компьютеров	1.6858
Измайлово	Ремонт компьютеров	2.3616
Головинский	Ремонт компьютеров	3.0782
Новогиреево	Ремонт компьютеров	3.5526
Дмитровский	Ремонт компьютеров	3.4003
Левобережный	Ремонт компьютеров	2.7734
Арбат	Ремонт компьютеров	2.701
Щукино	Ремонт компьютеров	2.3407999999999998
Западное Дегунино	Ремонт компьютеров	5.3581
Тверской	Ремонт компьютеров	2.0764
Внуково	Ремонт компьютеров	3.0326999999999997
Донской	Ремонт компьютеров	2.617
Северное Медведково	Ремонт компьютеров	3.4985999999999997
Воскресенское	Ремонт компьютеров	1.5241
Северное Медведково	Ремонт компьютеров	4.8246
Северное Бутово	Ремонт компьютеров	4.0122
Ярославский	Ремонт компьютеров	4.257
Можайский	Ремонт компьютеров	3.5863
Вороновское	Ремонт компьютеров	3.401
Северное Измайлово	Ремонт компьютеров	4.106
Перово	Ремонт компьютеров	5.3322
Даниловский	Ремонт компьютеров	2.5241000000000002
Филевский Парк	Ремонт компьютеров	1.3946
Дмитровский	Ремонт компьютеров	3.7343
Мосрентген	Ремонт компьютеров	2.7007
Северное Медведково	Ремонт компьютеров	3.0956
Текстильщики	Ремонт компьютеров	3.1373
Войковский	Ремонт компьютеров	1.5006
Тимирязевский	Ремонт компьютеров	3.5764
Северное Тушино	Ремонт компьютеров	7.0037
Новофедоровское	Ремонт компьютеров	1.4425
Очаково-Матвеевское	Ремонт компьютеров	3.2959
Мосрентген	Ремонт компьютеров	2.6296999999999997
Останкинский	Ремонт компьютеров	2.0298
Орехово-Борисово Северное	Ремонт компьютеров	2.5513000000000003
Орехово-Борисово Южное	Ремонт компьютеров	5.4533000000000005
Гольяново	Ремонт компьютеров	4.2451
Филимонковское	Ремонт компьютеров	3.0136
Теплый Стан	Ремонт компьютеров	2.9334
Алексеевский	Ремонт компьютеров	3.823
Чертаново Северное	Ремонт компьютеров	3.2214
Раменки	Ремонт компьютеров	2.4895
Московский	Ремонт компьютеров	2.5467
Таганский	Ремонт компьютеров	3.6311
Бибирево	Ремонт компьютеров	3.8538
Марьина Роща	Ремонт компьютеров	2.6509
Западное Дегунино	Ремонт компьютеров	5.6800999999999995
Троицк	Ремонт компьютеров	3.6035000000000004
Черемушки	Ремонт компьютеров	4.4826
Савеловский	Ремонт компьютеров	4.2029
Сокол	Ремонт компьютеров	2.0573
Филимонковское	Ремонт компьютеров	1.9836
Восточное Дегунино	Ремонт компьютеров	3.0246
Левобережный	Ремонт компьютеров	2.8744
Косино-Ухтомский	Ремонт компьютеров	2.7788
Солнцево	Ремонт компьютеров	2.6682
Чертаново Южное	Ремонт компьютеров	3.8198
Чертаново Северное	Ремонт компьютеров	3.9904
Нагатинский Затон	Ремонт компьютеров	2.5614999999999997
Вороновское	Ремонт компьютеров	4.2170000000000005
Текстильщики	Ремонт компьютеров	3.3683000000000005
Коптево	Ремонт компьютеров	3.4712
Мещанский	Ремонт компьютеров	3.7117999999999998
Ивановское	Ремонт компьютеров	4.7953
Южное Медведково	Ремонт компьютеров	3.1691000000000003
Люблино	Ремонт компьютеров	4.5167
Гагаринский	Ремонт компьютеров	3.9973
Орехово-Борисово Южное	Ремонт компьютеров	3.7403000000000004
Люблино	Ремонт компьютеров	4.6637
Нагорный	Ремонт компьютеров	3.1318
Московский	Ремонт компьютеров	3.9637000000000002
Бутырский	Ремонт компьютеров	1.8448000000000002
Новофедоровское	Ремонт компьютеров	2.6685
Обручевский	Ремонт компьютеров	2.1954000000000002
Матушкино	Ремонт компьютеров	1.5644
Котловка	Ремонт компьютеров	1.2637
Кокошкино	Ремонт компьютеров	3.3423000000000003
Нагорный	Ремонт компьютеров	3.1778
Западное Дегунино	Ремонт компьютеров	3.5481000000000003
Северное Бутово	Ремонт компьютеров	2.6992000000000003
Отрадное	Ремонт компьютеров	4.7761
Лосиноостровский	Ремонт компьютеров	4.5936
Роговское	Ремонт компьютеров	1.7515
Арбат	Ремонт компьютеров	2.264
Роговское	Ремонт компьютеров	1.3905
Гагаринский	Ремонт компьютеров	3.4162999999999997
Бирюлево Восточное	Ремонт компьютеров	5.4459
Внуково	Ремонт компьютеров	2.6717
Северное Тушино	Ремонт компьютеров	3.5597
Тропарево-Никулино	Ремонт компьютеров	2.8606
Кокошкино	Ремонт компьютеров	3.2773000000000003
Строгино	Ремонт компьютеров	3.82
Ясенево	Ремонт компьютеров	4.9657
Щаповское	Ремонт компьютеров	3.289
Пресненский	Ремонт компьютеров	4.8754
Гольяново	Ремонт компьютеров	2.8291000000000004
Кокошкино	Ремонт компьютеров	1.5713
Троицк	Ремонт компьютеров	3.4295
Нижегородский	Ремонт компьютеров	1.2275
Гагаринский	Ремонт компьютеров	3.5503
Восточный	Ремонт компьютеров	2.2474
Матушкино	Ремонт компьютеров	2.4764
Мосрентген	Ремонт компьютеров	2.8947
Метрогородок	Ремонт компьютеров	1.9032
Ломоносовский	Ремонт компьютеров	5.4784999999999995
Тимирязевский	Ремонт компьютеров	4.0834
Филевский Парк	Ремонт компьютеров	2.7146
Чертаново Южное	Ремонт компьютеров	5.1738
Рязановское	Ремонт компьютеров	3.25
Гольяново	Ремонт компьютеров	2.6951
Ярославский	Ремонт компьютеров	1.927
Марьино	Ремонт компьютеров	5.7341999999999995
Киевский	Ремонт компьютеров	0.49029999999999996
Нагорный	Ремонт компьютеров	3.6878
Тимирязевский	Ремонт компьютеров	2.7574
Восточное Измайлово	Ремонт компьютеров	2.1819
Коньково	Ремонт компьютеров	3.4334
Внуково	Ремонт компьютеров	0.6307
Краснопахорское	Ремонт компьютеров	3.6302999999999996
Некрасовка	Ремонт компьютеров	1.2261
Хорошево-Мневники	Ремонт компьютеров	5.3547
Останкинский	Ремонт компьютеров	1.2948
Алтуфьевский	Ремонт компьютеров	2.7492
Мосрентген	Ремонт компьютеров	2.4287
Алексеевский	Ремонт компьютеров	1.723
Отрадное	Ремонт компьютеров	4.0931
Митино	Ремонт компьютеров	5.1813
Внуковское	Ремонт компьютеров	2.9928
Внуково	Ремонт компьютеров	5.8816999999999995
Тропарево-Никулино	Ремонт компьютеров	2.8086
Михайлово-Ярцевское	Ремонт компьютеров	2.8258
Солнцево	Ремонт компьютеров	3.1471999999999998
Москворечье-Сабурово	Ремонт компьютеров	2.6393000000000004
Ново-Переделкино	Ремонт компьютеров	3.5652
Хорошевский	Ремонт компьютеров	2.2326
Киевский	Ремонт компьютеров	1.5132999999999999
Дорогомилово	Ремонт компьютеров	3.3764
Ярославский	Ремонт компьютеров	2.176
Новофедоровское	Ремонт компьютеров	2.0425
Новокосино	Ремонт компьютеров	3.4569
Восточный	Ремонт компьютеров	2.0934
Ломоносовский	Ремонт компьютеров	1.8445
Хорошево-Мневники	Ремонт компьютеров	3.3007
Орехово-Борисово Южное	Ремонт компьютеров	4.6763
Новофедоровское	Ремонт компьютеров	3.3685
Останкинский	Ремонт компьютеров	3.0278
Мосрентген	Ремонт компьютеров	2.9007
Бабушкинский	Ремонт компьютеров	2.7934
Ростокино	Ремонт компьютеров	2.3872999999999998
Кузьминки	Ремонт компьютеров	5.306100000000001
Перово	Ремонт компьютеров	4.9132
Зябликово	Ремонт компьютеров	4.8466000000000005
Щукино	Ремонт компьютеров	3.2088
Гагаринский	Ремонт компьютеров	1.9343000000000001
Свиблово	Ремонт компьютеров	1.8009
Ховрино	Ремонт компьютеров	2.8725
Орехово-Борисово Южное	Ремонт компьютеров	2.9373
Сокольники	Ремонт компьютеров	1.7057000000000002
Даниловский	Ремонт компьютеров	1.2221000000000002
Старое Крюково	Ремонт компьютеров	3.5217
Бутырский	Ремонт компьютеров	5.2678
Дмитровский	Ремонт компьютеров	1.4723000000000002
Лосиноостровский	Ремонт компьютеров	3.2496
Бирюлево Западное	Ремонт компьютеров	4.4785
Войковский	Ремонт компьютеров	3.6456
Бабушкинский	Ремонт компьютеров	2.9464
Якиманка	Ремонт компьютеров	0.13399999999999998
Отрадное	Ремонт компьютеров	4.790100000000001
Южное Бутово	Ремонт компьютеров	6.1203
Капотня	Ремонт компьютеров	3.8709
Алтуфьевский	Ремонт компьютеров	2.7931999999999997
Измайлово	Ремонт компьютеров	4.3656
Бирюлево Восточное	Ремонт компьютеров	4.3169
